today,base,enumerateur,uuid,question.name,ancienne.valeur,nouvelle.valeur,parent.other.question,parent.other.answer,probleme,checkid,action
8/5/2020,dedougou,dedougou_511,0fdac6fc-0b27-4319-b2a7-dcb00358131b,uuid,0fdac6fc-0b27-4319-b2a7-dcb00358131b,NULL,NULL,NULL,UUID doublee,id25,remove
8/5/2020,dedougou,dedougou_511,fb6e8ca3-c3a1-4e6e-a720-02ad1577a595,uuid,0fdac6fc-0b27-4319-b2a7-dcb00358131b,NULL,NULL,NULL,UUID doublee,id25,check
8/12/2020,fada,fada_403,25c1d26a-02fe-495f-844c-d93531178c5e,uuid,fb6e8ca3-c3a1-4e6e-a720-02ad1577a595,NULL,NULL,NULL,UUID doublee,id25,remove
8/12/2020,fada,fada_403,0fdac6fc-0b27-4319-b2a7-dcb00358131b,uuid,25c1d26a-02fe-495f-844c-d93531178c5e,NULL,NULL,NULL,UUID doublee,id25,check
8/12/2020,fada,fada_403,fb6e8ca3-c3a1-4e6e-a720-02ad1577a595,uuid,fb6e8ca3-c3a1-4e6e-a720-02ad1577a595,NULL,NULL,NULL,UUID doublee,id25,remove
8/12/2020,fada,fada_403,25c1d26a-02fe-495f-844c-d93531178c5e,uuid,25c1d26a-02fe-495f-844c-d93531178c5e,NULL,NULL,NULL,UUID doublee,id25,check
7/16/2020,dedougou,dedougou_505,05234c48-3f93-421a-9b78-35f60a93d831,duration_entretien,14.7,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/18/2020,NA,NA,27eac85e-c2d0-4c66-bcd6-cc841e587ceb,duration_entretien,1,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/18/2020,NA,NA,946c2db0-0279-4335-b1bd-2394d45587c4,duration_entretien,2.1,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/19/2020,tenkodogo,tenkodogo_803,2191fcc3-1f6b-45f1-a666-84f817cdab09,duration_entretien,14.8,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/21/2020,NA,NA,85b4d0e5-28c2-45b6-9549-288d3a64e284,duration_entretien,1.2,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/23/2020,NA,NA,97cc4b8f-c1b6-48cf-95d8-f5b1dc1faf41,duration_entretien,6.6,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
7/24/2020,NA,NA,d58c3432-bd33-4472-ac0a-76f5772d821a,duration_entretien,3.1,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
8/5/2020,NA,NA,48a405fa-2f6e-4ccf-b807-d23cb166c5ac,duration_entretien,0.1,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
8/7/2020,NA,NA,dc651ad2-1f1c-4ef6-89c3-bf8ae6826678,duration_entretien,1.2,NULL,Sama,NA,Duree d'enquete trop courte - moins de ,id01,check
8/14/2020,fada,fada_407,49aa31d0-25bd-4d99-88e4-5d86e237fea9,duration_entretien,-50,0,Sama,NA,Duree d'enquete trop courte - moins de ,id01,change
7/14/2020,kaya,kaya_204,50e51dab-007a-4084-bd9c-4df41d5e8ecd,duration_entretien,430.6,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,kaya,kaya_204,1edd34d3-c271-4bb4-bec2-420f2bc8abb9,duration_entretien,308.6,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,bobo,bobo_605,f8e0803d-8383-48f0-8b16-795389719ece,duration_entretien,565.3,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,dedougou,dedougou_506,d18fabb5-f7d0-4557-a858-42b81656acd7,duration_entretien,369.5,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,dedougou,dedougou_506,67c8488b-894d-4a69-845b-3d6ae193c9e9,duration_entretien,201.3,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,dedougou,dedougou_501,d20b7b98-694d-4828-ab89-f47832237c20,duration_entretien,338,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,fada,fada_407,614eb187-e43a-431d-bc37-efbcdae9a251,duration_entretien,358.3,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/14/2020,fada,fada_407,64644cb4-c2b4-4ac3-8036-112fd740d296,duration_entretien,310.9,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
7/13/2020,fada,fada_401,5078cfd9-8f38-421e-a4ed-241f3c8e3f57,duration_entretien,971.9,NULL,NULL,NULL,Duree d'enquete trop longue - plus de 200 minutes,id02,check
