,id_sampl,FID,strata_id,psu_id,population,ADM3_FR,ADM3_PCODE,ADM3_REF,ADM3ALT1FR,ADM3ALT2FR,ADM2_FR,ADM2_PCODE,ADM1_FR,ADM1_PCODE,SumDist,proba,survey_buffer,POINT_X,POINT_Y,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_featureNam,NEAR_pcode,Exclude,Include,Check Exclure,Visité (Oui/NON),Jour visité,enquêtes faites,manque Enquètes?,Equipe,Responsable,Date enquête
1,id_51012,51011,BF5402,OB-212,1487.417096,Bagaré,BF540202,Bagare,NA,NA,Passoré,BF5402,Nord,BF54,298176.0809,0.004988385,4,-2.606696677,12.91218945,6984,8.06E-03,-2.6,12.916667,Bagare,BF5402020039,NA,NA,NA,oui,8/5/2020,4,0,3,Robin,8/3/2020
2,id_57366,57365,BF5404,PK-162,262.7512165,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.001537815,4,-2.367100075,13.30346902,8295,6.66E-03,-2.360768,13.301395,Bagare,BF5404040001,NA,NA,NA,oui,7/19/2020,4,0,3,Robin,7/18/2020
3,id_36953,36952,BF13,TR-290,4222.866056,Ouagadougou,BF130004,NA,NA,NA,Kadiogo,BF1300,Centre,BF13,2907110.407,0.001452599,4,-1.607236566,12.29562769,4669,6.34E-03,-1.6125,12.299167,Bakiensom,BF1300040008,NA,NA,NA,oui,8/9/2020,4,0,8,Robin,8/5/2020
4,id_37221,37220,BF13,UN-289,4422.228831,Ouagadougou,BF130004,NA,NA,NA,Kadiogo,BF1300,Centre,BF13,2907110.407,0.001521177,4,-1.456632989,12.30353233,4672,6.94E-03,-1.450833,12.299722,Balkouin,BF1300040010,NA,NA,NA,oui,8/7/2020,4,0,8,Robin,8/3/2020
5,id_37222,37221,BF13,UO-289,4277.237721,Ouagadougou,BF130004,NA,NA,NA,Kadiogo,BF1300,Centre,BF13,2907110.407,0.001471302,4,-1.449787371,12.29958001,4672,1.06E-03,-1.450833,12.299722,Balkouin,BF1300040010,NA,NA,NA,oui,8/7/2020,4,0,8,Robin,8/3/2020
6,id_55987,55986,BF4903,WO-175,28.20917743,Kaya,BF490304,NA,NA,NA,Sanmatenga,BF4903,Centre-Nord,BF49,438084.3056,6.44E-05,4,-1.093815277,13.20070873,7938,7.89E-03,-1.089401,13.194175,Bangasse,BF4903040061,NA,NA,NA,oui,8/7/2020,4,0,2,Robin,7/15/2020
7,id_57497,57496,BF4901,UD-161,2229.225879,Kongoussi,BF490103,NA,NA,NA,Bam,BF4901,Centre-Nord,BF49,212290.5181,0.010500826,4,-1.52508916,13.31532598,8363,8.70E-03,-1.529397,13.322886,Bango,BF4901030021,NA,NA,NA,oui,7/26/2020,4,0,2,Robin,7/26/2020
8,id_57622,57621,BF4901,UC-160,1649.463837,Kongoussi,BF490103,NA,NA,NA,Bam,BF4901,Centre-Nord,BF49,212290.5181,0.007769842,8,-1.531934778,13.3192783,8363,4.41E-03,-1.529397,13.322886,Bango,BF4901030021,NA,NA,NA,oui,7/26/2020,8,0,2,Robin,7/26/2020
9,id_57623,57622,BF4901,UD-160,3609.222851,Kongoussi,BF490103,NA,NA,NA,Bam,BF4901,Centre-Nord,BF49,212290.5181,0.017001338,8,-1.52508916,13.32323061,8363,4.32E-03,-1.529397,13.322886,Bango,BF4901030021,NA,NA,NA,oui,7/26/2020,8,0,2,Robin,7/26/2020
10,id_37213,37212,BF13,UF-289,3642.901619,Ouagadougou,BF130004,NA,NA,NA,Kadiogo,BF1300,Centre,BF13,2907110.407,0.001253101,4,-1.511397926,12.30353233,4722,3.09E-03,-1.508333,12.303889,Banogo,BF1300040011,NA,NA,NA,oui,8/9/2020,4,0,8,Robin,8/4/2020
11,id_37085,37084,BF4604,IS-289,1341.483321,Dédougou,BF460402,Dedougou,NA,NA,Mouhoun,BF4604,Boucle du Mouhoun,BF46,274865.6441,0.004880506,4,-3.558237467,12.29958001,4606,1.83E-02,-3.566667,12.283333,Wetina,BF4604020007,NA,NA,NA,NA,NA,NA,-4,5,Alberto,NA
12,id_39307,39306,BF4604,IV-280,41.75823567,Dédougou,BF460402,Dedougou,NA,NA,Mouhoun,BF4604,Boucle du Mouhoun,BF46,274865.6441,0.000151922,4,-3.537700615,12.37467407,5004,9.70E-03,-3.533333,12.383333,Kamandena,BF4604020022,NA,NA,NA,NA,NA,NA,-4,5,Alberto,NA
13,id_41343,41342,BF4604,JC-271,52.19779458,Dédougou,BF460402,Dedougou,NA,NA,Mouhoun,BF4604,Boucle du Mouhoun,BF46,274865.6441,0.000189903,4,-3.489781295,12.44186349,5205,2.82E-02,-3.516667,12.433333,Souri,BF4604020027,NA,NA,NA,NA,NA,NA,-4,5,Alberto,NA
14,id_41348,41347,BF4604,JJ-271,1518.955822,Dédougou,BF460402,Dedougou,NA,NA,Mouhoun,BF4604,Boucle du Mouhoun,BF46,274865.6441,0.005526176,4,-3.441861975,12.44581581,5206,1.51E-02,-3.433333,12.433333,Mouindasso,BF4604020028,NA,NA,NA,NA,NA,NA,-4,5,Alberto,NA
15,id_41209,41208,BF55,RU-272,527.7900944,Sourgoubila,BF550204,NA,NA,NA,Kourwéogo,BF5502,Plateau-Central,BF55,599312.4253,0.000880659,4,-1.942671809,12.43395886,5217,7.35E-03,-1.95,12.433333,Bantogodo,BF5502040024,NA,NA,NA,oui,8/4/2020,4,0,8,Robin,8/1/2020
16,id_61185,61184,BF5403,PZ-101,562.1797512,Barga,BF540301,NA,NA,NA,Yatenga,BF5403,Nord,BF54,480120.4957,0.001170914,4,-2.264415818,13.78960425,9440,1.01E-02,-2.255022,13.793315,Barga,BF5403010010,NA,NA,AU CHOIX CT,oui,7/20/2020,4,0,3,Robin,7/23/2020
17,id_54958,54957,BF4903,VD-184,142.5122925,Mané,BF490306,Mane,NA,NA,Sanmatenga,BF4903,Centre-Nord,BF49,438084.3056,0.000325308,4,-1.347103113,13.13351931,7755,8.40E-03,-1.354616,13.137269,Baskounda,BF4903060070,NA,NA,NA,oui,7/27/2020,4,0,2,Robin,7/20/2020
18,id_55718,55717,BF5404,PL-177,1052.416628,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.006159523,4,-2.360254458,13.18885177,7935,5.17E-03,-2.361936,13.193736,Bassinam,BF5404030024,NA,NA,NA,oui,7/26/2020,4,0,3,Robin,7/21/2020
19,id_55812,55811,BF5404,PL-176,2289.467752,Goursi,BF540403,NA,NA,NA,Zondoma,BF5404,Nord,BF54,170860.0825,0.013399664,4,-2.360254458,13.19675641,7935,3.46E-03,-2.361936,13.193736,Bassinam,BF5404030024,NA,NA,NA,oui,7/26/2020,4,0,3,Robin,7/21/2020
