"today","base","enumerateur","uuid","question.name","ancienne.valeur","nouvelle.valeur","parent.other.question","parent.other.answer","probleme","checkid","action"
"2020-07-15","koudougou","koudougou_702","54ba1b3e-705c-458d-a033-12532fae7af4","uuid","54ba1b3e-705c-458d-a033-12532fae7af4",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-15","koudougou","koudougou_702","be571ca7-1953-4fd7-bb91-38dd952a9219","uuid","54ba1b3e-705c-458d-a033-12532fae7af4",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-15","koudougou","koudougou_707","47bf103a-9ec8-47e2-9a41-c16208485d7e","uuid","be571ca7-1953-4fd7-bb91-38dd952a9219",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-15","koudougou","koudougou_707","765a3bb8-0b82-460a-ad00-7a3c700212e8","uuid","be571ca7-1953-4fd7-bb91-38dd952a9219",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-15","fada","fada_411","8e67c183-e179-447d-b616-01f689524c1f","uuid","c1fb0b7e-3ce0-4619-a499-74e15e22cc39",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","ouahigouya","ouahigouya_305","d93a8f5b-36fe-4a9c-be95-8e11e59ccb09","uuid","c147ddbd-4d82-482c-849e-7a04a0188a6c",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","fada","fada_412","94af178a-6098-43d5-a095-a212b6f978ab","uuid","d93a8f5b-36fe-4a9c-be95-8e11e59ccb09",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","tenkodogo","tenkodogo_806","6d41f936-2f1b-4627-a3a8-e410ab5eb05f","uuid","55c4e6df-ca18-4c15-a84b-368718a3250a",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","ouahigouya","ouahigouya_301","976afc5b-d3d2-4ffb-a836-68a8d47d3940","uuid","9a8a5d36-de86-4f21-98af-c4f7da0b276e",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","ouahigouya","ouahigouya_301","5e6511e5-1ea5-453b-8abc-61414b268292","uuid","aff5a43b-1a3b-42d5-9f25-b957ddceacd7",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-16","fada","fada_408","a5be421e-7b77-4932-81a4-3e13ac8799d7","uuid","966a8853-d79d-468a-bbc6-0ce779fb183a",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-19","tenkodogo","tenkodogo_802","faca84c3-72e7-40f8-a931-0f11136acf5c","uuid","accf422a-2988-4552-b61f-9f8b87c536ca",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-19","ouahigouya","ouahigouya_307","6a3358e6-0848-4e61-a9f7-e5e09a21075c","uuid","568a37c6-bc96-46db-b514-d6ee59ea3f27",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-19","ouahigouya","ouahigouya_303","f18b233d-891a-46f3-8af7-c458cd83fb94","uuid","2900ba15-d1d0-46e4-b45f-cd17e692b29b",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-19","bobo","bobo_604","999dc754-0c0e-4742-9f2b-a92a672bc1fc","uuid","90cee24b-43a5-48d4-b884-d9ef6d116fef",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-30","koudougou","koudougou_703","b2d9f480-c4d5-44f0-91be-3528219022b2","uuid","a345977e-8360-4800-b76b-2797d569ac55",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-30","koudougou","koudougou_704","d956a360-6810-43f0-9822-09e5d6ade14f","uuid","188be40f-1a19-4c9a-896f-2fb72c6fdee9",NA,NA,NA,"UUID doublee","id01","check"
"2020-07-30","kaya","kaya_206","bea4bdc1-1a50-42d7-a987-b8b17361b90a","uuid","b2d9f480-c4d5-44f0-91be-3528219022b2",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-04","dori","dori_101","d968474f-19fb-4141-95df-272463d409a3","uuid","4f3accd2-ff91-4980-8b61-9b17fa90b769",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-04","dedougou","dedougou_503","a0d10e46-5de9-4b67-b5b8-04ac204241c7","uuid","476efc8c-7639-4d59-b2d7-f2591fac8b1a",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-04","dedougou","dedougou_503","378cec5c-7e38-452f-b626-3b7eb1c8e059","uuid","12e7162b-5dae-4e4a-825e-b7c73847d6cf",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-04","dori","dori_108","33c43b69-e89b-4667-a6b9-d043a6e395a8","uuid","6db2c290-726c-43c1-91b9-83c7e9d1cd5e",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-05","fada","fada_404","0fdac6fc-0b27-4319-b2a7-dcb00358131b","uuid","d39359ba-a36c-4208-8a10-c8beaf847ff2",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","bobo","bobo_601","fb6e8ca3-c3a1-4e6e-a720-02ad1577a595","uuid","dcad5d4f-49ce-4f38-b857-62383e8b7df4",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","bobo","bobo_605","25c1d26a-02fe-495f-844c-d93531178c5e","uuid","d92bf8f1-a75e-4c4d-897b-10e96b539ae1",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-11","fada","fada_403","b574b49f-8561-4926-bdbf-8dee0962c88e","uuid","9a4211ec-1cde-422f-91f7-9694efc3542d",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","fada","fada_403","a423cd11-d989-4fdd-9722-41de99e8af1b","uuid","64adcc8b-c66f-47c7-8f9d-9f0d33db47d5",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","fada","fada_403","e06fdfc4-ffb8-4e9b-aa55-f4e78b42db09","uuid","044d0d84-b8af-4053-9bc5-23188d98b03b",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","fada","fada_403","f60c3a2e-e8c6-4599-aa1a-7cb4876958a8","uuid","fb6e8ca3-c3a1-4e6e-a720-02ad1577a595",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-12","koudougou","koudougou_705","d6720514-9943-453a-9988-d945dcf25e9d","uuid","8b6886bc-8b11-4193-a9ed-eccc5c0bad55",NA,NA,NA,"UUID doublee","id01","check"
"2020-08-13","koudougou","koudougou_705","caa63bf6-df09-4068-80f3-5e7dd8fc7d64","uuid","0ae13553-6375-49d2-ab3b-a4c87be70e55",NA,NA,NA,"UUID doublee","id01","check"
